Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      2.69     0.00                             button_showing(std::__cxx11::list<std::pair<SimpleButton*, std::set<SimpleButton*, std::less<SimpleButton*>, std::allocator<SimpleButton*> > >, std::allocator<std::pair<SimpleButton*, std::set<SimpleButton*, std::less<SimpleButton*>, std::allocator<SimpleButton*> > > > > const&, SimpleButton*)
  0.00      2.69     0.00                             change_teamnum(int)
  0.00      2.69     0.00                             clear_keyboard()
  0.00      2.69     0.00                             create_new_pix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int, unsigned char)
  0.00      2.69     0.00                             cycle_team_guy(int)
  0.00      2.69     0.00                             draw_highlight(button const&)
  0.00      2.69     0.00                             draw_value_bar(short, short, walker*, short, screen*)
  0.00      2.69     0.00                             get_asset_path[abi:cxx11]()
  0.00      2.69     0.00                             get_saved_name(char const*)
  0.00      2.69     0.00                             get_time_bonus(int)
  0.00      2.69     0.00                             isAnyPlayerKey(int)
  0.00      2.69     0.00                             list_campaigns[abi:cxx11]()
  0.00      2.69     0.00                             load_version_2(SDL_RWops*, LevelData*)
  0.00      2.69     0.00                             load_version_3(SDL_RWops*, LevelData*)
  0.00      2.69     0.00                             load_version_4(SDL_RWops*, LevelData*)
  0.00      2.69     0.00                             load_version_5(SDL_RWops*, LevelData*)
  0.00      2.69     0.00                             load_version_6(SDL_RWops*, LevelData*, short)
  0.00      2.69     0.00                             open_read_file(char const*)
  0.00      2.69     0.00                             open_read_file(char const*, char const*)
  0.00      2.69     0.00                             our_pal_lookup(int)
  0.00      2.69     0.00                             remaining_foes(screen*, walker*)
  0.00      2.69     0.00                             remaining_team(screen*, char)
  0.00      2.69     0.00                             results_screen(int, int)
  0.00      2.69     0.00                             results_screen(int, int, std::map<int, guy*, std::less<int>, std::allocator<std::pair<int const, guy*> > >&, std::map<int, walker*, std::less<int>, std::allocator<std::pair<int const, walker*> > >&)
  0.00      2.69     0.00                             save_grid_file(char const*, PixieData const&)
  0.00      2.69     0.00                             set_difficulty()
  0.00      2.69     0.00                             set_screen_pos(screen*, int, int)
  0.00      2.69     0.00                             calculate_level(unsigned int)
  0.00      2.69     0.00                             delete_campaign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             exp_from_action(ExpActionEnum, walker*, walker*, short)
  0.00      2.69     0.00                             fill_help_array(char (*) [100], SDL_RWops*)
  0.00      2.69     0.00                             get_base_damage(walker*)
  0.00      2.69     0.00                             get_random_name(unsigned char)
  0.00      2.69     0.00                             handle_menu_nav(button*, int&, int&, bool)
  0.00      2.69     0.00                             isJoystickEvent(SDL_Event const&)
  0.00      2.69     0.00                             isKeyboardEvent(SDL_Event const&)
  0.00      2.69     0.00                             is_in_selection(walker*, std::vector<SelectionInfo, std::allocator<SelectionInfo> > const&)
  0.00      2.69     0.00                             load_saved_game(char const*, screen*)
  0.00      2.69     0.00                             new_score_panel(screen*, short)
  0.00      2.69     0.00                             open_write_file(char const*)
  0.00      2.69     0.00                             open_write_file(char const*, char const*)
  0.00      2.69     0.00                             overscan_adjust(int)
  0.00      2.69     0.00                             query_key_event(int, SDL_Event const&)
  0.00      2.69     0.00                             redraw_mainmenu()
  0.00      2.69     0.00                             repack_campaign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             set_palette_reg(unsigned char, int, int, int)
  0.00      2.69     0.00                             set_player_mode(int)
  0.00      2.69     0.00                             unpack_campaign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             Scale_SuperEagle(unsigned char*, int, int, int, int, int, int, unsigned char*, int, int, int)
  0.00      2.69     0.00                             convert_to_ascii(int)
  0.00      2.69     0.00                             create_hire_menu(int)
  0.00      2.69     0.00                             create_load_menu(int)
  0.00      2.69     0.00                             create_save_menu(int)
  0.00      2.69     0.00                             create_team_menu(int)
  0.00      2.69     0.00                             create_view_menu(int)
  0.00      2.69     0.00                             do_pick_campaign(int)
  0.00      2.69     0.00                             family_name_copy(char*, short)
  0.00      2.69     0.00                             get_Uint32_color(unsigned char)
  0.00      2.69     0.00                             get_xp_from_kill(walker*, walker*)
  0.00      2.69     0.00                             handle_joy_event(SDL_Event const&)
  0.00      2.69     0.00                             handle_key_event(SDL_Event const&)
  0.00      2.69     0.00                             has_name_in_team(char const*)
  0.00      2.69     0.00                             no_or_yes_prompt(char const*, char const*, bool)
  0.00      2.69     0.00                             query_text_input()
  0.00      2.69     0.00                             yes_or_no_prompt(char const*, char const*, bool)
  0.00      2.69     0.00                             create_train_menu(int)
  0.00      2.69     0.00                             didPlayerPressKey(int, int, SDL_Event const&)
  0.00      2.69     0.00                             do_set_scen_level(int)
  0.00      2.69     0.00                             get_family_string(short)
  0.00      2.69     0.00                             handle_text_event(SDL_Event const&)
  0.00      2.69     0.00                             playerHasJoystick(int)
  0.00      2.69     0.00                             prompt_for_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      2.69     0.00                             show_ending_popup(int, int)
  0.00      2.69     0.00                             create_detail_menu(guy*)
  0.00      2.69     0.00                             create_new_map_pix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int)
  0.00      2.69     0.00                             get_xp_from_attack(walker*, walker*, float)
  0.00      2.69     0.00                             handle_mouse_event(SDL_Event const&)
  0.00      2.69     0.00                             isPlayerHoldingKey(int, int)
  0.00      2.69     0.00                             new_draw_value_bar(short, short, walker*, short, screen*)
  0.00      2.69     0.00                             quit_if_quit_event(SDL_Event const&)
  0.00      2.69     0.00                             rwops_read_handler(void*, unsigned char*, unsigned long, unsigned long*)
  0.00      2.69     0.00                             sendFakeKeyUpEvent(int)
  0.00      2.69     0.00                             wait_for_key_event()
  0.00      2.69     0.00                             calculate_hire_cost()
  0.00      2.69     0.00                             change_hire_teamnum(int)
  0.00      2.69     0.00                             create_dataopenglad()
  0.00      2.69     0.00                             create_new_campaign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             create_path_to_file(char const*)
  0.00      2.69     0.00                             didPlayerReleaseKey(int, int, SDL_Event const&)
  0.00      2.69     0.00                             does_campaign_exist(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             draw_percentage_bar(short, short, unsigned char, short, screen*)
  0.00      2.69     0.00                             draw_smallHealthBar(walker*, viewscreen*)
  0.00      2.69     0.00                             draw_version_number()
  0.00      2.69     0.00                             handle_window_event(SDL_Event const&)
  0.00      2.69     0.00                             query_mouse_no_poll()
  0.00      2.69     0.00                             query_timer_control()
  0.00      2.69     0.00                             read_campaign_intro(screen*)
  0.00      2.69     0.00                             rwops_write_handler(void*, unsigned char*, unsigned long)
  0.00      2.69     0.00                             activate_menu_choice(int, int, LevelEditorData&, SimpleButton&, bool)
  0.00      2.69     0.00                             calculate_train_cost(guy*)
  0.00      2.69     0.00                             create_new_scen_file(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             get_damage_reduction(walker*, float, walker*)
